fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2016-01;43;39;34;;;23;39;26;31;33;32
2016-02;;38;25;24;;15;29;21;24;23;32
2016-03;36;37;33;34;;24;36;28;28;29;35
2016-04;29;29;22;21;;;25;15;21;21;24
2016-05;25;25;13;10;;6;17;10;11;11;14
2016-06;22;27;10;9;;6;12;10;8;11;
2016-07;22;21;9;11;;5;11;6;8;7;
2016-08;28;25;11;9;;7;14;11;;10;
2016-09;30;;15;11;;7;17;;15;12;
2016-10;33;;21;16;20;10;24;18;18;19;
2016-11;33;;24;18;23;11;30;15;22;20;17
2016-12;35;;24;16;25;11;28;16;21;21;22
